"","state","friday","deaths","positives","negatives"
"484","TX",2020-08-14,1506,46069,235440
"485","UT",2020-08-14,25,2601,28116
"486","VA",2020-08-14,53,6956,104571
"487","VT",2020-08-14,0,53,6402
"488","WA",2020-08-14,83,3877,91599
"489","WI",2020-08-14,35,5653,69665
"490","WV",2020-08-14,30,841,31182
"491","AK",2020-08-07,2,611,35134
"492","AL",2020-08-07,155,10578,49371
"493","AR",2020-08-07,68,5528,42526
"494","AZ",2020-08-07,387,11043,60059
"495","CA",2020-08-07,1006,44828,741013
"496","CO",2020-08-07,38,3232,41785
"497","CT",2020-08-07,9,510,70127
"498","DC",2020-08-07,4,463,19521
"499","DE",2020-08-07,3,657,13080
"500","FL",2020-08-07,1085,47689,221162
"501","GA",2020-08-07,365,22652,155790
"502","IA",2020-08-07,46,3283,31005
"503","ID",2020-08-07,46,3153,16437
"504","IL",2020-08-07,118,11690,273379
"505","IN",2020-08-07,58,6100,63621
"506","KS",2020-08-07,22,2826,21179
"507","KY",2020-08-07,29,3645,50526
"508","LA",2020-08-07,258,12466,150293
"509","MA",2020-08-07,99,2679,94946
"510","MD",2020-08-07,72,5460,90173
"511","ME",2020-08-07,1,102,16453
"512","MI",2020-08-07,74,4896,187252
"513","MN",2020-08-07,41,4722,71195
"514","MO",2020-08-07,58,7056,58911
"515","MS",2020-08-07,185,6689,26018
"516","MT",2020-08-07,10,792,16994
"517","NC",2020-08-07,210,10664,172046
"518","ND",2020-08-07,3,857,10879
"519","NE",2020-08-07,12,2055,20891
"520","NH",2020-08-07,4,198,9958
"521","NJ",2020-08-07,63,2401,154062
"522","NM",2020-08-07,34,1385,51360
"523","NV",2020-08-07,90,6445,30650
"524","NY",2020-08-07,40,4628,475110
"525","OH",2020-08-07,163,7516,147245
"526","OK",2020-08-07,59,5768,54469
"527","OR",2020-08-07,26,2144,31356
"528","PA",2020-08-07,108,5231,94796
"529","RI",2020-08-07,7,716,11241
"530","SC",2020-08-07,250,9203,65923
"531","SD",2020-08-07,14,607,6485
"532","TN",2020-08-07,146,12823,135804
"533","TX",2020-08-07,1527,53578,277202
"534","UT",2020-08-07,31,3179,27011
"535","VA",2020-08-07,143,7994,90004
"536","VT",2020-08-07,1,34,6560
"537","WA",2020-08-07,89,4407,87956
"538","WI",2020-08-07,56,6094,92799
"539","WV",2020-08-07,11,791,27898
"540","AK",2020-07-31,4,929,31605
"541","AL",2020-07-31,142,11718,48765
"542","AR",2020-07-31,59,5262,36743
"543","AZ",2020-07-31,552,17709,79217
"544","CA",2020-07-31,819,58254,836911
"545","CO",2020-07-31,46,3890,51579
"546","CT",2020-07-31,19,1034,79890
"547","DC",2020-07-31,4,477,23004
"548","DE",2020-07-31,7,586,16135
"549","FL",2020-07-31,1198,68074,283378
"550","GA",2020-07-31,310,24951,167292
"551","IA",2020-07-31,44,3311,29228
"552","ID",2020-07-31,39,3510,15407
"553","IL",2020-07-31,110,10419,256665
"554","IN",2020-07-31,81,5556,63078
"555","KS",2020-07-31,32,2703,11837
"556","KY",2020-07-31,44,4220,50127
"557","LA",2020-07-31,234,12546,129971
"558","MA",2020-07-31,110,2627,86323
"559","MD",2020-07-31,71,6580,100261
"560","ME",2020-07-31,5,155,16392
